,/Users/pslive1/Documents/Walk_Projext/BDL079_Daisy_Walk_RouteP1/BDL079_Daisy_Walk_RouteP1.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes,all_classes,fixation_classes
0,BDL079_Daisy_Walk_RouteP1.mov,0,fixation,1,35.0,135.0,100.0,0.0,00:00:00.03500,272.44,198.98,-1000.0,-1000.0,,,,,
1,BDL079_Daisy_Walk_RouteP1.mov,1,fixation,5,168.333333,268.333333,100.0,133.333333,00:00:00.16800,264.86,202.37,-1000.0,-1000.0,,,,person plant_vertical,person
2,BDL079_Daisy_Walk_RouteP1.mov,2,fixation,19,468.333333,901.666667,433.333333,600.0,00:00:00.63500,270.32,201.49,-1000.0,-1000.0,,,,person,person
3,BDL079_Daisy_Walk_RouteP1.mov,3,fixation,30,935.0,1168.333333,233.333333,966.666667,00:00:01.00200,267.46,202.03,-1000.0,-1000.0,,,,person,person
4,BDL079_Daisy_Walk_RouteP1.mov,4,fixation,40,1201.666667,1536.666667,335.0,1301.666667,00:00:01.33700,268.19,201.88,-1000.0,-1000.0,,,,person plant_vertical,person
5,BDL079_Daisy_Walk_RouteP1.mov,5,fixation,56,1736.6666670000002,2103.333333,366.666667,1835.0,00:00:01.87000,263.27,203.0,-1000.0,-1000.0,,,,person plant_vertical,person
6,BDL079_Daisy_Walk_RouteP1.mov,6,fixation,70,2236.666667,2503.333333,266.666667,2301.666667,00:00:02.33700,264.59,202.82,-1000.0,-1000.0,,,,person plant_vertical,person
7,BDL079_Daisy_Walk_RouteP1.mov,7,fixation,81,2570.0,2905.0,335.0,2670.0,00:00:02.70500,264.42,202.85,-1000.0,-1000.0,,,,person plant_vertical,person
8,BDL079_Daisy_Walk_RouteP1.mov,8,fixation,97,3205.0,3338.333333,133.333333,3203.333333,00:00:03.23800,45.07,112.43,-1000.0,-1000.0,,,,person plant_vertical,
9,BDL079_Daisy_Walk_RouteP1.mov,9,fixation,107,3571.666667,3671.666667,100.0,3536.666667,00:00:03.57200,55.02,103.87,-1000.0,-1000.0,,,,person,
10,BDL079_Daisy_Walk_RouteP1.mov,10,fixation,111,3671.666667,3838.333333,166.666667,3670.0,00:00:03.70500,268.17,202.04,-1000.0,-1000.0,,,,person,person
11,BDL079_Daisy_Walk_RouteP1.mov,11,fixation,128,3940.0,4673.333333,733.333333,4238.333333,00:00:04.27300,181.84,220.31,-1000.0,-1000.0,,,,,
12,BDL079_Daisy_Walk_RouteP1.mov,12,fixation,141,4673.333333,4806.666667,133.333333,4671.666667,00:00:04.70700,207.57,215.12,-1000.0,-1000.0,,,,,
13,BDL079_Daisy_Walk_RouteP1.mov,13,fixation,146,4840.0,4973.333333,133.333333,4838.333333,00:00:04.87300,205.36,215.14,-1000.0,-1000.0,,,,person,person
14,BDL079_Daisy_Walk_RouteP1.mov,14,fixation,164,5106.666667,5908.333333,801.666667,5440.0,00:00:05.47500,264.3,202.86,-1000.0,-1000.0,,,,person,person
15,BDL079_Daisy_Walk_RouteP1.mov,15,fixation,179,5975.0,6075.0,100.0,5940.0,00:00:05.97500,263.35,203.04,-1000.0,-1000.0,,,,person plant_vertical,person
16,BDL079_Daisy_Walk_RouteP1.mov,16,fixation,193,6341.666667,6610.0,268.333333,6406.666667,00:00:06.44200,264.41,202.84,-1000.0,-1000.0,,,,person plant_vertical,person
17,BDL079_Daisy_Walk_RouteP1.mov,17,fixation,216,6910.0,7610.0,700.0,7175.0,00:00:07.21000,263.61,202.93,-1000.0,-1000.0,,,,person plant_vertical,person
18,BDL079_Daisy_Walk_RouteP1.mov,18,fixation,231,7610.0,7878.333333,268.333333,7675.0,00:00:07.71000,41.71,107.31,-1000.0,-1000.0,,,,person,
