,/Users/pslive1/Documents/Walk_Projext/BDL064_Kermit_EyeTracking_Walk/BDL064_Kermit_EyeTracking_Walk.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes,all_classes,fixation_classes
0,BDL064_Kermit_EyeTracking_Walk.mov,0,fixation,11,335.0,501.666667,166.666667,0.0,00:00:00.36800,220.68,108.24,-1000.0,-1000.0,,,,building building pavement pavement pavement person plant_horizontal plant_vertical plant_vertical pole,plant_vertical
1,BDL064_Kermit_EyeTracking_Walk.mov,1,fixation,47,635.0,2570.0,1935.0,1201.666667,00:00:01.57000,155.83,200.06,-1000.0,-1000.0,,,,building pavement pavement pavement person plant_horizontal plant_vertical,plant_vertical
2,BDL064_Kermit_EyeTracking_Walk.mov,2,fixation,112,2838.333333,4706.666667,1868.3333329999998,3370.0,00:00:03.73800,206.83,149.38,-1000.0,-1000.0,,,,plant_vertical,plant_vertical
3,BDL064_Kermit_EyeTracking_Walk.mov,3,fixation,211,5106.666667,9078.333333,3971.666667,6675.0,00:00:07.04300,99.54,220.49,-1000.0,-1000.0,,,,building building pavement pavement pavement person plant_horizontal plant_horizontal plant_vertical,building
4,BDL064_Kermit_EyeTracking_Walk.mov,4,fixation,322,9278.333333,12283.333333,3005.0,10380.0,00:00:10.74800,197.97,165.93,-1000.0,-1000.0,,,,building building building pavement pavement pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical sky,building
5,BDL064_Kermit_EyeTracking_Walk.mov,5,fixation,382,12483.333333,13116.666667,633.333333,12381.666667,00:00:12.75000,192.07,242.98,-1000.0,-1000.0,,,,building building pavement pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical pole sky,person
6,BDL064_Kermit_EyeTracking_Walk.mov,6,fixation,419,13216.666667,14820.0,1603.333333,13616.666667,00:00:13.98500,180.54,329.22,-1000.0,-1000.0,,,,building building car person plant_vertical plant_vertical sky,person
7,BDL064_Kermit_EyeTracking_Walk.mov,7,fixation,445,14853.333333,14953.333333,100.0,14485.0,00:00:14.85300,150.39,314.51,-1000.0,-1000.0,,,,building pavement pavement pavement person person plant_vertical plant_vertical plant_vertical pole sky,plant_vertical
8,BDL064_Kermit_EyeTracking_Walk.mov,8,fixation,453,15053.333333,15253.333333,200.0,14751.666667,00:00:15.12000,83.89,358.9,-1000.0,-1000.0,,,,pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical,
9,BDL064_Kermit_EyeTracking_Walk.mov,9,fixation,459,15286.666667,15420.0,133.333333,14951.666667,00:00:15.32000,95.05,317.22,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_vertical plant_vertical pole,pavement
10,BDL064_Kermit_EyeTracking_Walk.mov,10,fixation,466,15520.0,15686.666667,166.666667,15185.0,00:00:15.55300,47.24,348.96,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical,
11,BDL064_Kermit_EyeTracking_Walk.mov,11,fixation,476,15786.666667,16088.333333,301.666667,15518.333333,00:00:15.88700,61.08,283.88,-1000.0,-1000.0,,,,building building car pavement pavement plant_horizontal plant_horizontal plant_horizontal plant_vertical,
12,BDL064_Kermit_EyeTracking_Walk.mov,12,fixation,529,17656.666666999998,17756.666666999998,100.0,17288.333333000002,00:00:17.65700,36.16,215.02,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_vertical sky,person
13,BDL064_Kermit_EyeTracking_Walk.mov,13,fixation,535,17823.333333000002,17956.666666999998,133.333333,17488.333333000002,00:00:17.85700,30.6,214.06,-1000.0,-1000.0,,,,building pavement person person plant_horizontal plant_horizontal plant_horizontal plant_vertical sky sky sky,person
14,BDL064_Kermit_EyeTracking_Walk.mov,14,fixation,545,18123.333333000002,18323.333333000002,200.0,17821.666666999998,00:00:18.19000,94.09,220.33,-1000.0,-1000.0,,,,building car pavement pavement person plant_horizontal plant_horizontal plant_horizontal plant_vertical pole sky sky,person
15,BDL064_Kermit_EyeTracking_Walk.mov,15,fixation,554,18423.333333000002,18623.333333000002,200.0,18121.666666999998,00:00:18.49000,100.64,240.41,-1000.0,-1000.0,,,,building building pavement pavement person plant_horizontal plant_horizontal plant_horizontal plant_vertical pole,person
16,BDL064_Kermit_EyeTracking_Walk.mov,16,fixation,568,18623.333333000002,19358.333333000002,735.0,18590.0,00:00:18.95800,71.82,230.78,-1000.0,-1000.0,,,,building building car pavement pavement pavement person person plant_horizontal plant_horizontal plant_horizontal plant_vertical pole sky,plant_horizontal
17,BDL064_Kermit_EyeTracking_Walk.mov,17,fixation,586,19558.333333000002,19658.333333000002,100.0,19190.0,00:00:19.55800,153.91,125.1,-1000.0,-1000.0,,,,building pavement pavement pavement person person plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical pole sky,person
18,BDL064_Kermit_EyeTracking_Walk.mov,18,fixation,595,19658.333333000002,20126.666666999998,468.333333,19490.0,00:00:19.85800,167.4,129.9,-1000.0,-1000.0,,,,building pavement pavement person person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical pole sky,person
